Date / Time,CPU Usage %,Temperature C
2017-05-07 14:36:52,45.7,73.1
2017-05-07 14:36:58,46.4,73.6
2017-05-07 14:37:03,46.3,73.6
2017-05-07 14:37:09,47.9,74.1
2017-05-07 14:37:14,43.1,74.1
2017-05-07 14:37:20,47.8,74.1
2017-05-07 14:37:25,48.3,74.1
2017-05-07 14:37:30,47.8,74.1
2017-05-07 14:37:36,43.7,74.1
2017-05-07 14:37:41,47.2,74.1
2017-05-07 14:37:47,48.7,74.1
2017-05-07 14:37:52,47.8,74.1
2017-05-07 14:37:58,47.1,74.1
2017-05-07 14:38:03,54.6,75.2
2017-05-07 14:38:09,47.1,75.2
2017-05-07 14:38:14,46.4,73.6
2017-05-07 14:38:20,48.4,74.1
2017-05-07 14:38:25,50.2,74.7
2017-05-07 14:38:31,46.6,74.1
2017-05-07 14:38:37,41.7,74.1
2017-05-07 14:38:42,48,74.1
2017-05-07 14:38:48,44.6,74.7
2017-05-07 14:38:53,47.8,74.7
2017-05-07 14:38:59,45.3,75.2
2017-05-07 14:39:04,46,75.2
2017-05-07 14:39:10,46.9,75.2
2017-05-07 14:39:15,46.2,74.7
2017-05-07 14:39:21,49.2,75.2
2017-05-07 14:39:27,44,75.2
2017-05-07 14:39:32,49,75.2
2017-05-07 14:39:37,45,75.2
2017-05-07 14:39:43,46.5,75.2
2017-05-07 14:39:48,44.4,74.7
2017-05-07 14:39:54,47.4,75.2
2017-05-07 14:40:00,42.3,75.8
2017-05-07 14:40:05,46.6,75.8
2017-05-07 14:40:11,48.1,75.2
2017-05-07 14:40:16,45.4,75.2
2017-05-07 14:40:22,46.3,75.2
2017-05-07 14:40:27,43.8,75.2
2017-05-07 14:40:33,51,75.8
2017-05-07 14:40:38,40.1,75.2
2017-05-07 14:40:43,47.4,75.2
2017-05-07 14:40:49,43,75.2
2017-05-07 14:40:55,50.2,75.8
2017-05-07 14:41:00,44.5,75.2
2017-05-07 14:41:06,45.8,75.2
2017-05-07 14:41:12,46.3,75.2
2017-05-07 14:41:18,48.2,75.8
2017-05-07 14:41:23,44.5,75.2
2017-05-07 14:41:29,46.1,75.2
2017-05-07 14:41:34,44.5,75.2
2017-05-07 14:41:40,44.8,75.8
2017-05-07 14:41:45,47.7,75.8
2017-05-07 14:41:51,42.9,75.2
2017-05-07 14:41:56,49.7,75.8
2017-05-07 14:42:02,46.2,75.2
2017-05-07 14:42:07,49,76.3
2017-05-07 14:42:12,45.1,75.8
2017-05-07 14:42:18,54.5,76.3
2017-05-07 14:42:23,45.4,76.3
2017-05-07 14:42:28,47.6,76.3
2017-05-07 14:42:34,43.9,76.3
2017-05-07 14:42:39,39.6,75.2
2017-05-07 14:42:45,47.9,75.2
2017-05-07 14:42:50,46.1,75.2
2017-05-07 14:42:55,50.4,76.3
2017-05-07 14:43:01,45.2,76.3
2017-05-07 14:43:06,47,76.3
2017-05-07 14:43:12,46,76.3
2017-05-07 14:43:17,47,75.8
2017-05-07 14:43:23,58.4,77.4
2017-05-07 14:43:28,51.4,77.4
2017-05-07 14:43:34,46.3,76.3
2017-05-07 14:43:39,48.7,77.4
2017-05-07 14:43:45,47.2,76.3
2017-05-07 14:43:50,46.5,76.3
2017-05-07 14:43:55,49.4,76.8
2017-05-07 14:44:01,46.4,76.3
2017-05-07 14:44:06,47.3,77.4
2017-05-07 14:44:12,43.5,76.8
2017-05-07 14:44:17,48.1,76.3
2017-05-07 14:44:22,45.7,77.4
2017-05-07 14:44:28,43.9,76.3
2017-05-07 14:44:34,43.6,75.8
2017-05-07 14:44:39,40.9,75.8
2017-05-07 14:44:44,46.8,76.8
2017-05-07 14:44:50,45,76.3
2017-05-07 14:44:55,47.5,76.3
2017-05-07 14:45:01,46.3,76.3
2017-05-07 14:45:06,47.9,76.8
2017-05-07 14:45:12,44.2,76.3
2017-05-07 14:45:17,50.1,77.4
2017-05-07 14:45:23,45.5,76.8
2017-05-07 14:45:29,48.8,77.4
2017-05-07 14:45:34,47.5,77.4
2017-05-07 14:45:39,46.2,77.4
2017-05-07 14:45:45,47.4,77.4
2017-05-07 14:45:51,45.1,77.4
2017-05-07 14:45:56,46.9,77.4
2017-05-07 14:46:02,44.7,76.8
2017-05-07 14:46:07,46.8,77.4
2017-05-07 14:46:13,47.5,77.4
2017-05-07 14:46:18,45.7,77.4
2017-05-07 14:46:24,43.5,77.4
2017-05-07 14:46:29,47,77.4
2017-05-07 14:46:34,44.3,76.3
2017-05-07 14:46:40,43.8,76.3
2017-05-07 14:46:45,46.7,77.4
2017-05-07 14:46:50,42.5,76.3
2017-05-07 14:46:56,46.5,76.3
2017-05-07 14:47:01,43.2,77.4
2017-05-07 14:47:07,47.4,76.8
2017-05-07 14:47:12,44.7,76.3
2017-05-07 14:47:17,46.9,77.4
2017-05-07 14:47:23,40.7,75.8
2017-05-07 14:47:28,46.8,77.4
2017-05-07 14:47:34,44.9,76.8
2017-05-07 14:47:39,46.3,76.8
2017-05-07 14:47:45,44.8,77.4
2017-05-07 14:47:50,45.9,76.3
2017-05-07 14:47:56,63.8,79
2017-05-07 14:48:01,48.2,77.4
2017-05-07 14:48:06,64.6,79.5
2017-05-07 14:48:12,52.9,78.4
2017-05-07 14:48:17,49.7,78.4
2017-05-07 14:48:23,45.3,77.9
2017-05-07 14:48:28,45.5,77.4
2017-05-07 14:48:34,42,76.8
2017-05-07 14:48:39,43.1,77.4
2017-05-07 14:48:45,43.6,77.4
2017-05-07 14:48:50,42.9,76.8
2017-05-07 14:48:55,49.6,77.4
2017-05-07 14:49:01,45.1,76.8
2017-05-07 14:49:06,46.6,77.9
2017-05-07 14:49:12,42,77.4
2017-05-07 14:49:17,45.3,77.4
2017-05-07 14:49:23,43.2,77.4
2017-05-07 14:49:28,44,77.4
2017-05-07 14:49:33,45.3,77.4
2017-05-07 14:49:39,45,77.4
2017-05-07 14:49:44,46.4,77.4
2017-05-07 14:49:50,43.4,77.9
2017-05-07 14:49:55,48.1,77.4
2017-05-07 14:50:01,42.8,76.8
2017-05-07 14:50:06,46.6,77.4
2017-05-07 14:50:12,45,77.4
2017-05-07 14:50:17,47.2,77.4
2017-05-07 14:50:23,43.9,76.8
2017-05-07 14:50:28,44.7,77.4
2017-05-07 14:50:34,43.3,76.3
2017-05-07 14:50:39,41.7,77.4
2017-05-07 14:50:45,47,77.4
2017-05-07 14:50:50,44.4,76.8
2017-05-07 14:50:56,45.9,77.4
2017-05-07 14:51:01,43.5,76.8
2017-05-07 14:51:07,47.3,77.4
2017-05-07 14:51:12,50.4,77.9
2017-05-07 14:51:18,45,77.9
2017-05-07 14:51:23,42.9,77.4
2017-05-07 14:51:29,46.3,76.8
2017-05-07 14:51:35,45.5,77.9
2017-05-07 14:51:40,48.3,78.4
2017-05-07 14:51:45,45.2,77.9
2017-05-07 14:51:51,47.6,78.4
2017-05-07 14:51:57,44,77.4
2017-05-07 14:52:03,47.5,78.4
2017-05-07 14:52:09,44.7,77.9
2017-05-07 14:52:14,46.1,77.9
2017-05-07 14:52:20,46.8,77.9
2017-05-07 14:52:25,44.6,78.4
2017-05-07 14:52:31,48.1,77.9
2017-05-07 14:52:37,38.2,77.4
2017-05-07 14:52:43,51.3,77.9
2017-05-07 14:52:48,43.6,77.9
2017-05-07 14:52:54,46.7,77.9
2017-05-07 14:52:59,46.1,77.9
2017-05-07 14:53:05,48.1,78.4
