Date / Time,CPU Usage %,Temperature C
2017-05-01 15:10:22,1.3,49.9
2017-05-01 15:35:27,6.2,50.5
2017-05-01 15:35:33,1.3,50.5
2017-05-01 15:35:39,4,50.5
2017-05-01 15:35:45,3,50.5
2017-05-01 15:35:50,4.1,51.5
2017-05-01 15:35:55,0.8,50.5
2017-05-01 15:36:02,3.9,51.5
2017-05-01 15:36:07,4.3,51
2017-05-01 15:36:13,4.4,51
2017-05-01 15:36:18,1.1,50.5
2017-05-01 15:36:24,3.7,51.5
2017-05-01 15:36:30,2.3,50.5
2017-05-01 15:36:36,4.4,51
2017-05-01 15:36:42,0.6,50.5
2017-05-01 15:36:47,4.8,50.5
2017-05-01 15:36:53,1.7,51
2017-05-01 15:36:58,2.7,50.5
2017-05-01 15:37:04,2.6,51
2017-05-01 15:37:10,3.8,51
2017-05-01 15:37:16,2.6,50.5
2017-05-01 15:37:22,2.1,50.5
2017-05-01 15:37:28,2.8,50.5
2017-05-01 15:37:34,3.1,50.5
2017-05-01 15:37:40,2.8,50.5
2017-05-01 15:37:45,1.6,50.5
2017-05-01 15:37:51,3.6,51.5
2017-05-01 15:37:57,2.4,50.5
2017-05-01 15:38:02,4.4,51.5
2017-05-01 15:38:14,5.1,51.5
2017-05-01 15:38:20,0.9,51
2017-05-01 15:38:26,4.7,51.5
2017-05-01 15:38:31,0.7,50.5
2017-05-01 15:38:37,3.8,51.5
2017-05-01 15:38:43,1.1,50.5
2017-05-01 15:38:49,6.1,51.5
2017-05-01 15:38:55,1.2,50.5
2017-05-01 15:39:01,3.5,50.5
2017-05-01 15:39:07,1.2,50.5
2017-05-01 15:39:13,6,50.5
2017-05-01 15:39:19,1.1,50.5
2017-05-01 15:39:25,4.3,51.5
2017-05-01 15:39:30,0.8,50.5
2017-05-01 15:39:36,4.9,51.5
2017-05-01 15:39:43,2.1,51
2017-05-01 15:39:49,4.2,50.5
2017-05-01 15:39:55,0.8,51
2017-05-01 15:40:00,4.2,51
